Date,Q,P,T
02.05.1981 00:00:00,5.5,0,7.33
03.05.1981 00:00:00,5.15,0,4.07
04.05.1981 00:00:00,4.93,0,4.58
05.05.1981 00:00:00,4.99,0,6.97
06.05.1981 00:00:00,4.9,0,10.32
07.05.1981 00:00:00,4.56,0,13.26
08.05.1981 00:00:00,4.5,0,15.12
09.05.1981 00:00:00,4.5,0,14.5
10.05.1981 00:00:00,4.24,0,14.79
11.05.1981 00:00:00,4.03,0,15.97
12.05.1981 00:00:00,4.03,11,13.79
13.05.1981 00:00:00,4.03,0,11.28
14.05.1981 00:00:00,4.03,1.9,12.34
15.05.1981 00:00:00,4.03,0,9.49
16.05.1981 00:00:00,4.03,0,9.49
17.05.1981 00:00:00,4.03,0,13.2
18.05.1981 00:00:00,4.03,0,14.69
19.05.1981 00:00:00,4,0,17.03
20.05.1981 00:00:00,3.64,3.7,16.06
21.05.1981 00:00:00,3.63,7.9,16.22
22.05.1981 00:00:00,3.6,1.7,17.14
23.05.1981 00:00:00,3.36,0,14.56
24.05.1981 00:00:00,3.27,0,15.02
25.05.1981 00:00:00,3.17,0,12.09
26.05.1981 00:00:00,3.17,1.1,15.96
27.05.1981 00:00:00,3.17,0,13.17
28.05.1981 00:00:00,3.17,0,11.43
29.05.1981 00:00:00,3.17,0,14.92
30.05.1981 00:00:00,3.17,0,18.92
31.05.1981 00:00:00,3.17,10.9,16.96
01.06.1981 00:00:00,3.17,1.5,10.82
02.06.1981 00:00:00,3.17,0,14.87
03.06.1981 00:00:00,3.17,0,18.48
04.06.1981 00:00:00,3.17,0,21.05
05.06.1981 00:00:00,3.17,0,20.15
06.06.1981 00:00:00,3.17,1.4,17.08
07.06.1981 00:00:00,3.1,13.6,18.45
08.06.1981 00:00:00,3.13,0,16.2
09.06.1981 00:00:00,2.81,0,13.31
10.06.1981 00:00:00,2.78,0,13.1
11.06.1981 00:00:00,2.78,0,13.21
12.06.1981 00:00:00,2.78,0,14.62
13.06.1981 00:00:00,2.78,0,14.48
14.06.1981 00:00:00,2.67,2.8,16.11
15.06.1981 00:00:00,2.63,0,17.95
16.06.1981 00:00:00,2.42,7.2,18.69
17.06.1981 00:00:00,2.22,12.1,16.46
18.06.1981 00:00:00,2.36,0,14.6
19.06.1981 00:00:00,2.21,4.3,11.95
20.06.1981 00:00:00,2.06,12,12.97
21.06.1981 00:00:00,2.45,2.5,17.2
22.06.1981 00:00:00,2.29,3,18.45
23.06.1981 00:00:00,2.06,1.9,15.32
24.06.1981 00:00:00,2.03,3,12.34
25.06.1981 00:00:00,1.98,0.8,12.07
