Date;Obs;Sim;Sim_Error
1989-08-30;1.120000;1.633311;0.348842
1989-08-31;1.120000;1.684019;0.353661
1989-09-01;1.120000;1.593688;0.360504
1989-09-02;1.120000;1.503599;0.366560
1989-09-03;1.120000;1.462378;0.368841
1989-09-04;1.120000;1.501432;0.361134
1989-09-05;1.100000;1.348830;0.379009
1989-09-06;1.110000;0.984692;0.349947
1989-09-07;1.120000;0.714000;0.363753
1989-09-08;1.120000;0.524004;0.360333
1989-09-09;1.120000;0.599930;0.352773
1989-09-10;1.120000;1.115179;0.361909
1989-09-11;1.120000;1.323188;0.352433
1989-09-12;1.120000;1.505925;0.374148
1989-09-13;1.120000;1.440784;0.372818
1989-09-14;1.120000;1.557724;0.375806
1989-09-15;1.120000;1.204415;0.359063
1989-09-16;1.110000;0.791161;0.369520
1989-09-17;1.090000;0.332689;0.364280
1989-09-18;1.120000;0.179791;0.361550
1989-09-19;1.110000;0.106544;0.339038
1989-09-20;1.120000;0.181957;0.362154
1989-09-21;1.120000;0.174196;0.353315
1989-09-22;1.120000;0.221217;0.356389
1989-09-23;1.080000;0.081600;0.357850
1989-09-24;1.090000;0.083836;0.342617
1989-09-25;1.030000;0.103815;0.350974
1989-09-26;1.090000;0.237179;0.355607
1989-09-27;1.120000;0.423269;0.365376
1989-09-28;1.120000;0.966278;0.359838
1989-09-29;1.120000;1.354010;0.364551
1989-09-30;1.120000;2.134209;0.383586
1989-10-01;1.140000;2.375383;0.377305
1989-10-02;1.540000;3.180904;0.383960
1989-10-03;1.260000;3.677443;0.432215
1989-10-04;1.190000;4.102151;0.450488
1989-10-05;1.210000;4.472959;0.443614
1989-10-06;1.230000;4.545440;0.444772
1989-10-07;1.120000;5.095085;0.466600
1989-10-08;1.410000;4.980368;0.465611
1989-10-09;1.990000;6.523335;0.519465
1989-10-10;1.940000;7.458983;0.531052
1989-10-11;2.060000;8.545083;0.551082
1989-10-12;2.060000;8.591251;0.550140
1989-10-13;2.060000;8.560928;0.530634
1989-10-14;2.060000;7.972152;0.542340
1989-10-15;2.060000;7.516898;0.546572
1989-10-16;2.060000;7.380771;0.521329
1989-10-17;2.020000;7.041000;0.531663
1989-10-18;2.060000;6.996896;0.542036
1989-10-19;2.030000;6.837121;0.521770
1989-10-20;1.760000;6.857952;0.509669
1989-10-21;1.730000;6.747910;0.506641
1989-10-22;1.730000;6.382555;0.510774
1989-10-23;1.730000;6.175504;0.503225
1989-10-24;1.730000;5.908504;0.490740
1989-10-25;1.730000;5.907180;0.481246
1989-10-26;1.730000;5.636744;0.470817
1989-10-27;1.730000;5.548728;0.465484
1989-10-28;1.730000;5.507343;0.441848
1989-10-29;1.540000;5.711429;0.469712
1989-10-30;1.430000;5.846808;0.471770
1989-10-31;1.500000;5.692190;0.470570
1989-11-01;1.670000;5.458168;0.465308
1989-11-02;1.790000;5.797036;0.458281
1989-11-03;2.490000;6.760629;0.468285
1989-11-04;3.810000;7.863475;0.487725
